objective_family,alpha,train_count,case_id,baseline,lhs_method,rhs_method,lhs_method_family,rhs_method_family,objective_difference_lhs_minus_rhs,objective_relative_difference_percent,runtime_difference_lhs_minus_rhs,runtime_ratio_lhs_over_rhs,mip_gap_difference_lhs_minus_rhs,test_expected_difference_lhs_minus_rhs,test_worst10_difference_lhs_minus_rhs
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-LLBI-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-LLBI-RootCuts,FPP-SAA-fpp_base,0,0,-102.5288934,0.07984517964,0.00036086,0,0
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-105.7135763,0.05126395513,-0.00014097,0,0
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-107.5063727,0.03517434235,0.00036086,0,0
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-101.6590917,0.08765129415,0.00026641,0,0
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-102.4038018,0.08096782551,0.0001491,0,0
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-RootCuts,FPP-SAA-fpp_base,0,0,-106.1430306,0.04740977898,0.00031823,0,0
CVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-Combinatorial-CVaR,FPP-SAA-CVaR,FPP-Branch-Benders-Combinatorial,FPP-SAA-fpp_base,0,0,63.88053112,1.5733016,0.00028605,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-LLBI-RootCuts,FPP-SAA,FPP-Branch-Benders-LLBI-RootCuts,FPP-SAA-fpp_base,0,0,2.88946547,1.648402402,-0.00084101,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,0.0064328,1.001443534,0.00014421,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-1.12431437,0.7477013843,-0.00084101,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-SAA,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-0.37401481,0.9160702546,-0.00084101,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-SAA,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-1.33804486,0.6997397926,-0.00011701,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-RootCuts,FPP-SAA,FPP-Branch-Benders-RootCuts,FPP-SAA-fpp_base,0,0,3.10421561,1.696592805,-0.00057344,0,0
Expected,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-Combinatorial,FPP-SAA,FPP-Branch-Benders-Combinatorial,FPP-SAA-fpp_base,0,0,8.1287356,2.824106134,-0.00084101,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,FPP-SAA-MeanCVaR,FPP-Branch-Benders-LLBI-RootCuts,FPP-SAA-fpp_base,0,0,-90.80133817,0.07406609404,4.756e-05,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-MeanCVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-91.77950495,0.06409137554,-0.00044048,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-MeanCVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-94.68058695,0.03450799889,4.756e-05,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-MeanCVaR,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-89.56476902,0.08667583445,-1.125e-05,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,FPP-SAA-MeanCVaR,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-93.79239108,0.04356525165,-0.00013955,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-MeanCVaR-RootCuts,FPP-SAA-MeanCVaR,FPP-Branch-Benders-RootCuts,FPP-SAA-fpp_base,0,0,-94.36469521,0.03772926059,-0.00038511,0,0
MeanCVaR,0.01,100,case00,FPP-SAA-fpp_base,FPP-Branch-Benders-Combinatorial-MeanCVaR,FPP-SAA-MeanCVaR,FPP-Branch-Benders-Combinatorial,FPP-SAA-fpp_base,0,0,-58.12111627,0.4073180716,-9.753e-05,0,0
CVaR,0.01,100,case01,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-LLBI-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-LLBI-RootCuts,FPP-SAA-fpp_base,0,0,-294.6182924,0.02168645419,-2.219e-05,0,0
CVaR,0.01,100,case01,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-293.856462,0.02421619874,4.08e-06,0,0
CVaR,0.01,100,case01,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-SAA-fpp_base,0,0,-294.3996067,0.02241262523,-2.219e-05,0,0
CVaR,0.01,100,case01,FPP-SAA-fpp_base,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-CVaR,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-SAA-fpp_base,0,0,-292.8187442,0.02766205888,-8.34e-06,0,0
