objective_family,alpha,train_scenario_count,method_family,method,projected_llbi_family_reconstructed,projected_llbi_variant_reconstructed,runs,solved_to_optimality,time_limited_with_incumbent,failed_or_without_incumbent,status_counts,avg_objective_value,avg_best_bound,avg_mip_gap,avg_runtime,avg_train_expected_burned_area,avg_test_expected_burned_area,avg_train_worst10_burned_area,avg_test_worst10_burned_area,avg_lazy_benders_cuts_added,avg_root_user_cuts_added,avg_standard_llbi_cut_count,avg_projected_llbi_cut_count,avg_root_separation_time,avg_subproblem_solving_time,avg_combinatorial_cut_count
CVaR,0.01,100,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,5,0,0,Optimal:5,215.08,214.8792767,0.000933404,166.5588679,103.446,115.961,215.08,261.84,86.6,0,0,0,0,0,2884.8
CVaR,0.01,100,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,5,0,0,Optimal:5,215.08,214.8685963,0.000983092,10.76774184,103.446,115.961,215.08,261.84,127.4,34.6,100,0,0,3.73649893,0
CVaR,0.01,100,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,5,0,0,Optimal:5,215.08,214.892431,0.000866592,10.41064022,103.446,115.961,215.08,261.84,54.6,21.6,0,158.4,2.510936892,2.207184942,0
CVaR,0.01,100,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,5,0,0,Optimal:5,215.08,214.8685963,0.000983092,9.86098007,103.446,115.961,215.08,261.84,127.4,34.6,0,100,0,3.349761608,0
CVaR,0.01,100,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,5,0,0,Optimal:5,215.08,214.8724613,0.000964166,7.493667144,103.446,115.961,215.08,261.84,43.4,2,0,171.8,0.790979738,2.18719464,0
CVaR,0.01,100,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,5,0,0,Optimal:5,215.08,214.8826304,0.000916142,8.538209614,103.446,115.961,215.08,261.84,72,30.4,0,100,0,2.77218159,0
CVaR,0.01,100,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,5,0,0,Optimal:5,215.08,214.8721386,0.00096643,14.38665349,103.446,115.961,215.08,261.84,1010.8,30.8,0,0,0,6.164421498,0
CVaR,0.01,100,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,5,0,0,Optimal:5,215.08,214.891201,0.0008747,229.5206348,103.446,115.961,215.08,261.84,0,0,0,0,0,0,0
CVaR,0.01,200,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,5,0,0,Optimal:5,228.8,228.5829248,0.000949344,470.8229363,106.367,113.007,228.8,255.17,133.6,0,0,0,0,0,5251
CVaR,0.01,200,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,5,0,0,Optimal:5,228.8,228.5725766,0.000993948,31.42835643,106.367,113.007,228.8,255.17,333.2,56.2,200,0,0,8.658835128,0
